id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,amenities,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,kitchen_appliances,lobby_in_building,maid_service,maids_room,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
8939557,Jumeirah Beach Residence,25.080327,55.138219,160000,1890,84.66,3,4,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,maids_room,shared_gym,shared_pool,shared_spa,view_of_water,",True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False
8931062,Jumeirah Village Circle,25.066791,55.203684,33000,377,87.53,0,1,High,"unfurnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,lobby_in_building,security,shared_gym,shared_pool,vastu_compliant,walk_in_closet,",True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
8879717,Jumeirah Beach Residence,25.072954,55.128089,190000,1090,174.31,1,2,High,"furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,kitchen_appliances,maid_service,security,shared_gym,shared_pool,view_of_water,walk_in_closet,",True,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True
8936867,Jumeirah Beach Residence,25.073146,55.13154,150000,1382,108.54,2,3,High,"furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,kitchen_appliances,maid_service,security,shared_gym,shared_pool,shared_spa,view_of_landmark,view_of_water,",True,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False
8937596,Damac Hills 2,24.989435,55.388858,63000,1882,33.48,3,5,High,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,covered_parking,pets_allowed,private_garden,security,shared_gym,shared_pool,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,",True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True
8865667,Dubai Hills Estate,25.100116,55.248009,400000,7466,53.58,4,4,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,maid_service,maids_room,pets_allowed,private_garden,security,shared_gym,shared_pool,walk_in_closet,",True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True
8798948,Al Barari,25.100921,55.313162,1000000,4614,216.73,3,3,Low,"unfurnished,balcony,private_pool,view_of_landmark,view_of_water,",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
8865669,Arjan,25.065806,55.233004,35000,467,74.95,0,1,Medium,"furnished,balcony,built_in_wardrobes,central_ac,covered_parking,security,shared_gym,shared_pool,",True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
8860624,Jumeirah Village Circle,25.056571,55.204936,115000,1407,81.73,2,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,maid_service,pets_allowed,security,shared_gym,shared_pool,view_of_landmark,",True,True,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False
8768100,Arabian Ranches 2,25.033944,55.277891,200000,2143,93.33,4,4,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,maids_room,pets_allowed,private_garden,security,shared_gym,shared_pool,",True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False
8928763,Palm Jumeirah,25.123736,55.153599,365000,2217,164.64,2,3,High,"furnished,balcony,built_in_wardrobes,central_ac,concierge,covered_parking,kitchen_appliances,maids_room,pets_allowed,security,shared_gym,shared_pool,shared_spa,view_of_water,walk_in_closet,",True,True,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True
8932818,Arabian Ranches,25.055628,55.276745,480000,5458,87.94,5,5,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,kitchen_appliances,maids_room,pets_allowed,private_garden,shared_pool,",True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
8933993,Palm Jumeirah,25.108018,55.149404,240000,2213,108.45,3,3,High,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,maids_room,pets_allowed,security,shared_gym,shared_pool,shared_spa,study,view_of_water,walk_in_closet,",True,True,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True
8916086,Arabian Ranches 2,25.031728,55.267498,260000,3225,80.62,4,4,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,maids_room,pets_allowed,private_garden,security,shared_pool,walk_in_closet,",True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True
8922965,Dubai Creek Harbour (The Lagoons),25.207208,55.344612,210000,1621,129.55,3,3,Low,"unfurnished,balcony,view_of_water,",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8924142,Damac Hills 2,24.989435,55.388858,115000,1882,61.11,4,5,Medium,"furnished,balcony,built_in_wardrobes,covered_parking,kitchen_appliances,maids_room,pets_allowed,private_garden,security,shared_pool,study,",True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False
8913014,Dubai Harbour,25.097523,55.139963,130000,729,178.33,1,1,High,"unfurnished,balcony,built_in_wardrobes,central_ac,concierge,covered_parking,kitchen_appliances,pets_allowed,security,shared_gym,shared_pool,shared_spa,view_of_landmark,view_of_water,walk_in_closet,",True,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True,True
8900946,Business Bay,25.190442,55.283397,160000,1046,152.96,2,2,Medium,"furnished,balcony,built_in_wardrobes,central_ac,covered_parking,shared_gym,view_of_landmark,",True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
8907568,Meydan,25.141905,55.294705,550000,5511,99.8,6,7,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,kitchen_appliances,maids_room,private_garden,private_pool,security,study,walk_in_closet,",True,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True
8937297,Jumeirah Village Circle,25.059748,55.1996,76000,841,90.37,1,1,Medium,"unfurnished,balcony,built_in_wardrobes,kitchen_appliances,shared_gym,shared_pool,walk_in_closet,",True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
8928211,Business Bay,25.186573,55.282071,55000,459,119.83,0,1,Medium,"furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,covered_parking,lobby_in_building,security,shared_gym,shared_pool,shared_spa,view_of_landmark,",True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False
8927701,Jumeirah Village Circle,25.066873,55.203776,30000,495,60.61,0,1,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,pets_allowed,security,shared_gym,shared_pool,",True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False
8933791,Jumeirah Village Circle,25.056225,55.20458,42000,391,107.42,0,1,High,"furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,covered_parking,kitchen_appliances,lobby_in_building,pets_allowed,security,shared_gym,shared_pool,shared_spa,",True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False
8886331,Arabian Ranches 2,25.032222,55.272518,349999,4309,81.23,4,4,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,maids_room,pets_allowed,private_garden,security,shared_gym,shared_pool,study,walk_in_closet,",True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False,False,False,True
8914886,Arabian Ranches 2,25.035761,55.274041,420000,5368,78.24,5,5,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,maids_room,pets_allowed,private_garden,security,shared_pool,study,walk_in_closet,",True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,True
8943386,Jumeirah Village Circle,25.05336,55.206285,60000,831,72.2,1,2,High,"partly_furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,vastu_compliant,walk_in_closet,",False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
8926769,Downtown Dubai,25.190443,55.273465,400000,2154,185.7,3,4,Medium,"furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,kitchen_appliances,maids_room,security,shared_gym,shared_pool,view_of_landmark,",True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False
8938569,Al Furjan,25.027786,55.154686,110000,1789,61.49,3,4,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,maids_room,security,shared_gym,shared_pool,view_of_landmark,walk_in_closet,",True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,True
8920923,Downtown Dubai,25.19331,55.280919,330000,2122,155.51,3,4,Low,"unfurnished,balcony,central_ac,maids_room,shared_gym,shared_pool,",True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
