id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,amenities,partly_furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,lobby_in_building,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
8941849,Jumeirah Lake Towers,25.067476,55.138353,850000,864,983.8,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,pets_allowed,security,shared_gym,shared_pool,",False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False
8941848,Barsha Heights (Tecom),25.094036,55.175136,1450000,1550,935.48,2,3,Low,"unfurnished,central_ac,",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8941856,Jumeirah Lake Towers,25.070522,55.140874,975000,1246,782.5,2,3,Low,"unfurnished,central_ac,",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8941853,Dubai Marina,25.078241000000002,55.137487,1700000,1116,1523.3,2,2,Medium,"unfurnished,balcony,built_in_wardrobes,covered_parking,pets_allowed,security,shared_gym,shared_pool,view_of_water,walk_in_closet,",False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True,True
8941850,Dubai Silicon Oasis,25.108968,55.37945799999999,850000,1194,711.89,2,2,Low,"unfurnished,balcony,central_ac,",False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8941846,Bluewaters,25.079832999999997,55.12085,3400000,1132,3003.53,1,2,Low,"furnished,balcony,built_in_wardrobes,kitchen_appliances,pets_allowed,shared_pool,",True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
8941840,Abu Dhabi,24.496385,54.40852099999999,1800000,1461,1232.03,2,3,Medium,"unfurnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,maids_room,shared_gym,shared_pool,view_of_water,",False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
8941838,Abu Dhabi,24.496385,54.40852099999999,1500000,1361,1102.13,2,3,Medium,"unfurnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,shared_gym,shared_pool,study,",False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
8941835,Abu Dhabi,24.484654000000003,54.404135,800000,870,919.54,1,2,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,pets_allowed,shared_gym,shared_pool,view_of_water,",False,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
8941828,Abu Dhabi,24.4941,54.407481000000004,1280000,1374,931.59,2,3,Medium,"unfurnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,shared_gym,shared_pool,",False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8941827,Abu Dhabi,24.503892,54.410077,1400000,1290,1085.27,2,2,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,shared_gym,shared_pool,view_of_water,",False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
8941821,Abu Dhabi,24.460853,54.591962,3600000,2177,1653.65,2,3,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,maids_room,pets_allowed,shared_gym,shared_pool,view_of_water,",False,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
8941819,Abu Dhabi,24.44901,54.599437,1850000,1374,1346.43,2,3,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,private_jacuzzi,shared_gym,shared_pool,view_of_water,",False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
8941816,Abu Dhabi,24.50901,54.406788,1200000,1076,1115.24,2,2,Medium,"unfurnished,balcony,barbecue_area,central_ac,childrens_play_area,covered_parking,shared_gym,shared_pool,",False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8941814,Abu Dhabi,24.492819,54.392731000000005,950000,904,1050.88,1,2,Medium,"unfurnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,private_jacuzzi,shared_gym,shared_pool,",False,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
8941812,Abu Dhabi,24.491761999999998,54.392703000000004,900000,926,971.92,1,2,Medium,"unfurnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,private_jacuzzi,shared_gym,shared_pool,",False,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
8941811,Abu Dhabi,24.492819,54.392731000000005,860000,839,1025.03,1,2,Medium,"furnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,private_jacuzzi,shared_gym,shared_pool,",True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
8941962,Sharjah,25.502321,55.520314,990000,1415,699.65,2,3,High,"partly_furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,pets_allowed,security,shared_pool,study,view_of_landmark,view_of_water,",True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False
8941932,Abu Dhabi,24.491738,54.394875,799999,893,895.86,1,2,High,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,covered_parking,lobby_in_building,pets_allowed,security,shared_gym,shared_pool,shared_spa,",False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False
8941921,Abu Dhabi,24.496385,54.40852099999999,949999,914,1039.39,1,2,High,"unfurnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,covered_parking,lobby_in_building,pets_allowed,security,shared_gym,shared_pool,shared_spa,view_of_water,",False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,False
8941801,Abu Dhabi,24.492065,54.394725,850000,903,941.31,1,2,Medium,"furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,pets_allowed,security,shared_gym,shared_pool,shared_spa,walk_in_closet,",True,True,False,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True
8941803,Abu Dhabi,24.44901,54.599437,1200000,914,1312.91,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,security,shared_gym,shared_pool,",False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
8941778,Abu Dhabi,24.449399,54.608582,1600000,1404,1139.6,2,3,High,"furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,kitchen_appliances,maids_room,pets_allowed,private_jacuzzi,security,shared_gym,shared_pool,view_of_water,walk_in_closet,",True,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,True,True
8941776,Abu Dhabi,24.496775,54.409290000000006,1000000,1056,946.97,2,3,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,security,shared_gym,shared_pool,view_of_water,walk_in_closet,",False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True
8941777,Abu Dhabi,24.450785,54.601452,1600000,840,1904.76,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,security,shared_gym,shared_pool,shared_spa,view_of_water,",False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False
8941765,Dubai Hills Estate,25.107226,55.245499,2794800,1360,2055.0,3,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,pets_allowed,security,shared_gym,shared_pool,shared_spa,view_of_landmark,walk_in_closet,",False,True,False,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,True
8941749,Downtown Dubai,25.195235999999998,55.268641,4450000,1538,2893.37,3,3,Medium,"unfurnished,balcony,central_ac,concierge,covered_parking,kitchen_appliances,security,shared_gym,shared_pool,view_of_landmark,",False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
8941747,Ras Al Khaimah,25.717617,55.83163199999999,758000,1475,513.9,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,security,shared_gym,shared_pool,view_of_landmark,view_of_water,walk_in_closet,",False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True
8941739,Dubai Sports City,25.03683,55.222376000000004,600000,1109,541.03,1,1,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,childrens_play_area,childrens_pool,covered_parking,pets_allowed,security,shared_gym,shared_pool,view_of_landmark,",False,True,True,True,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False
8941738,Dubai Creek Harbour (The Lagoons),25.203553,55.34555400000001,2150000,1091,1970.67,2,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,view_of_water,",False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False
8941736,Sharjah,25.323139,55.474765000000005,350000,400,875.0,0,1,Medium,"unfurnished,built_in_wardrobes,central_ac,concierge,covered_parking,security,shared_pool,",False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
8941658,Dubai Marina,25.084397,55.142039000000004,4300000,2920,1472.6,4,5,Low,"balcony,view_of_landmark,view_of_water,",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
8941643,Jumeirah Village Circle,25.066922,55.21664200000001,810000,600,1350.0,1,1,Medium,"partly_furnished,balcony,built_in_wardrobes,central_ac,kitchen_appliances,pets_allowed,security,shared_gym,shared_pool,shared_spa,",True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False
8941644,Jumeirah Village Circle,25.066922,55.21664200000001,1600000,1275,1254.9,3,3,Medium,"partly_furnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,pets_allowed,security,shared_gym,shared_pool,shared_spa,",True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False
8941640,Jumeirah Village Circle,25.066922,55.21664200000001,540000,390,1384.62,0,1,Medium,"partly_furnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,pets_allowed,security,shared_gym,shared_pool,shared_spa,",True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False
8941641,Arjan,25.063928,55.234781999999996,693000,709,977.43,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,pets_allowed,shared_gym,shared_pool,shared_spa,",False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False
8941633,Jumeirah Village Circle,25.066922,55.21664200000001,1200000,970,1237.11,2,2,Medium,"partly_furnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,pets_allowed,security,shared_gym,shared_pool,shared_spa,",True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False
